id,title,description,link,condition,price,sale_price,availability,image_link,gtin,mpn,brand,google product category
6437,2021 Yılı Yunus Emre ve Türkçe Yılı Gümüş Darphane Hatıra Parası,,https://numismat.net/2021-yili-yunus-emre-ve-turkce-yili-gumus-darphane-hatira-parasi,Used,2400 TRY,2400 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/4.jpg,,,,
6438,2023 Yılı Togg Türkiye'nin Otomobili Girişimi Grubu Gümüş Hatıra Parası,,https://numismat.net/2023-yili-togg-turkiyetirnaknin-otomobili-girisimi-grubu-gumus-hatira-parasi,Used,2400 TRY,2400 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/6.jpg,,,,
6439,2021 Yılı Bilge Tonyukuk Abidesi'nin Dikilişinin 1300. Yılı Hatıra Parası Gümüş,,https://numismat.net/2021-yili-bilge-tonyukuk-abidesitirnaknin-dikilisinin-1300-yili-hatira-parasi-gumus,Used,2640 TRY,2640 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/8.jpg,,,,
6440,2021 Yılı Yıldız Kenter - Geleneksel Türk Tiyatrosu Hatıra Parası Gümüş,,https://numismat.net/2021-yili-yildiz-kenter-geleneksel-turk-tiyatrosu-hatira-parasi-gumus,Used,2640 TRY,2640 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/10.jpg,,,,
6441,2021 Yılı İbn-i Sina İslam Alimleri Serisi No:1 Hatıra Parası Gümüş,,https://numismat.net/2021-yili-ibn-i-sina-islam-alimleri-serisi-no-1-hatira-parasi-gumus,Used,2640 TRY,2640 TRY,out_of_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/12.jpg,,,,
6442,2022 Yılı Naim Süleymanoğlu Türk Spor İnsanı Serisi No:2 Gümüş Hatıra Parası,,https://numismat.net/2022-yili-naim-suleymanoglu-turk-spor-insani-serisi-no-2-gumus-hatira-parasi,Used,2400 TRY,2400 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/14.jpg,,,,
6443,2021 Yılı Karaman Yunus Emre Türbesi Gümüş Hatıra Parası,,https://numismat.net/2021-yili-karaman-yunus-emre-turbesi-gumus-hatira-parasi,Used,2400 TRY,2400 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/16.jpg,,,,
6444,2022 Yılı Mor Gabriel Manastırı Gümüş Hatıra Parası,,https://numismat.net/2022-yili-mor-gabriel-manastiri-gumus-hatira-parasi,Used,2400 TRY,2400 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/18.jpg,,,,
6445,2022 Yılı Korona Gümüş Hatıra Parası,,https://numismat.net/2022-yili-korona-gumus-hatira-parasi,Used,2400 TRY,2400 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/20.jpg,,,,
6447,Suudi Arabistan 1951 Yılı 1 Riyal ÇİLALTI,,https://numismat.net/suudi-arabistan-1951-yili-1-riyal-cilalti,Used,549.996,549.996,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/24.jpg,,,,
6448,Kanada 1958 Yılı 1 Dolar ÇÇT,,https://numismat.net/kanada-1958-yili-1-dolar-cct,Used,849.996,849.996,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/26.jpg,,,,
00172-020003-00002,ABD 1964 Yılı 1/2 Dolar ÇÇT,,https://numismat.net/abd-1964-yili-1-2-dolar-cct,Used,489.996,489.996,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/30.jpg,,,,
00173-020003-00003,ABD 1964 Yılı 1/2 Dolar ÇİLALTI,,https://numismat.net/abd-1964-yili-1-2-dolar-cilalti,Used,525 TRY,525 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/32.jpg,,,,
6453,Çad 2023 Yılı 5.000 Frank 1 ons Külçe Para,,https://numismat.net/cad-2023-yili-5-000-frank-1-ons-kulce-para-1,Used,1800 TRY,1800 TRY,out_of_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/36.jpg,,,,
6454,ABD 1964 Yılı 1/2 Dolar ÇİL (-),,https://numismat.net/abd-1964-yili-1-2-dolar-cil,Used,549.996,549.996,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/38.jpg,,,,
00174-020003-00004,ABD 1964 Yılı 1/2 Dolar ÇİL (-),,https://numismat.net/abd-1964-yili-1-2-dolar-cil-1,Used,549.996,549.996,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/40.jpg,,,,
6456,ABD 1962 Yılı 1/2 Dolar ÇÇT (++),,https://numismat.net/abd-1962-yili-1-2-dolar-cct-artiarti,Used,489.996,489.996,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/42.jpg,,,,
6457,Jersey 1945 Yılı 1/12 Shilling ÇİL,,https://numismat.net/jersey-1945-yili-1-12-shilling-cil,Used,240 TRY,240 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/44.jpg,,,,
00167-020001-00050,Fransa 1960 Yılı 5 Frank ÇÇT,,https://numismat.net/fransa-1960-yili-5-frank-cct,Used,435 TRY,435 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/68.jpg,,,,
00170-020001-00053,İTALYA 1960 Yılı 500 Lira ÇÇT,,https://numismat.net/italya-1960-yili-500-lira-cct,Used,399.996,399.996,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/70.jpg,,,,
00168-020001-00051,Fransa 1960 Yılı 5 Frank ÇÇT (++),,https://numismat.net/fransa-1960-yili-5-frank-cct-artiarti,Used,459.996,459.996,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/72.jpg,,,,
