model,image,price,link,name_tr
6435,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/0.jpg,1750.0000,https://numismat.net/galatasaray-23-sampiyonluk-gumus-uzeri-altin-kaplama-hatira-parasi,Galatasaray 23.Şampiyonluk Gümüş Üzeri Altın Kaplama Hatıra Parası
6436,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/2.jpg,2000.0000,https://numismat.net/2023-yili-galatasaray-23-sampiyonluk-gumus-uzeri-altin-kaplama-hatira-parasi,2023 Yılı Galatasaray 23.Şampiyonluk Gümüş Üzeri Altın Kaplama Hatıra Parası
6437,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/4.jpg,1550.0000,https://numismat.net/2021-yili-yunus-emre-ve-turkce-yili-gumus-darphane-hatira-parasi,2021 Yılı Yunus Emre ve Türkçe Yılı Gümüş Darphane Hatıra Parası
6438,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/6.jpg,1500.0000,https://numismat.net/2023-yili-togg-turkiyetirnaknin-otomobili-girisimi-grubu-gumus-hatira-parasi,2023 Yılı Togg Türkiye'nin Otomobili Girişimi Grubu Gümüş Hatıra Parası
6439,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/8.jpg,1600.0000,https://numismat.net/2021-yili-bilge-tonyukuk-abidesitirnaknin-dikilisinin-1300-yili-hatira-parasi-gumus,2021 Yılı Bilge Tonyukuk Abidesi'nin Dikilişinin 1300. Yılı Hatıra Parası Gümüş
6440,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/10.jpg,1600.0000,https://numismat.net/2021-yili-yildiz-kenter-geleneksel-turk-tiyatrosu-hatira-parasi-gumus,2021 Yılı Yıldız Kenter - Geleneksel Türk Tiyatrosu Hatıra Parası Gümüş
6441,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/12.jpg,1600.0000,https://numismat.net/2021-yili-ibn-i-sina-islam-alimleri-serisi-no-1-hatira-parasi-gumus,2021 Yılı İbn-i Sina İslam Alimleri Serisi No:1 Hatıra Parası Gümüş
6442,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/14.jpg,1600.0000,https://numismat.net/2022-yili-naim-suleymanoglu-turk-spor-insani-serisi-no-2-gumus-hatira-parasi,2022 Yılı Naim Süleymanoğlu Türk Spor İnsanı Serisi No:2 Gümüş Hatıra Parası
6443,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/16.jpg,1600.0000,https://numismat.net/2021-yili-karaman-yunus-emre-turbesi-gumus-hatira-parasi,2021 Yılı Karaman Yunus Emre Türbesi Gümüş Hatıra Parası
6444,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/18.jpg,1550.0000,https://numismat.net/2022-yili-mor-gabriel-manastiri-gumus-hatira-parasi,2022 Yılı Mor Gabriel Manastırı Gümüş Hatıra Parası
6445,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/20.jpg,1500.0000,https://numismat.net/2022-yili-korona-gumus-hatira-parasi,2022 Yılı Korona Gümüş Hatıra Parası
